id_producto,producto,proveedor,categoria,Govt Cat.,,,,,,,,,,,,,,
7450143162527,Mayonesa Original Kris de 60 gr,Kris,Mayonesa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7450152206495,Avena InstantÃ¡neas Princesa Bolsa de 300 gr,Princesa,Avena Instantanea,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392493469855,Agua con Gas Vital 600 ml,Vital,Agua con Gas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392495370399,Cappuccino Original NescafÃ© Sobre 20 g 6 u,NescafÃ©,Cafe,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392496844959,Palitos Salados con Queso Bread King 120 g,Bread King,Palitos de Queso,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392503562399,Jugo Tampico Citrus Punch 3 l,Tampico,Jugo de Fruta,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392503922847,Jugo Naranja Del Valle 1 l,Del Valle,Jugo de Fruta,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392581976223,Amarula Crema y Amarula 750 ml,Amarula,Licor,Bebidas Alcohólicas y Tabaco,,,,,,,,,,,,,,
7392583286943,AtÃºn en Aceite Grated A1 de 170g,A1,Atun en Aceite,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392583352479,AtÃºn en Aceite Trozos A1 140 g,A1,Atun en Aceite,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392583450783,AtÃºn en Aceite Filetes A1 170 g,A1,Atun en Aceite,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392583843999,AtÃºn Lomito en Agua Real 354 g,Real,Atun en Agua,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392583876767,AtÃºn Lomitos Ahumados Robinson Crusoe 160 g,Robinson Crusoe,Atun,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392583909535,AtÃºn Lomitos con Aceite Robinson Crusoe 160 g,Robinson Crusoe,Atun en Aceite,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7392612876447,Pan Integal Vikinger,Vikinger,Pan,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436947456159,Pipoca Mantequilla Extra Act II de 99 gr,Act II,Pipoca,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436950929567,Gaseosa Papaya cero Azucar La CabaÃ±a de 2000 ml,La CabaÃ±a,Gaseosa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436952731807,Papas Fritas Lays de 40 gr,Lays,Papas Fritas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436952764575,Agua sin Gas Mendocina de 1000 ml,Mendocina,Agua sin Gas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436953059487,Tortilla de Harina Integral Don Taco de 240 gr,Don Taco,Tortilla integral,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436955943071,Sopa Instantanea Lunch Maruchan sabor Carne de Res de 64 gr,Maruchan,Sopa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436958662815,Tableta para Mosquitos Rapida Accion Raid de 12 Uni,Raid,Tableta para Mosquitos,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436958761119,Hamburguesa Fridogrill Fridosa de 113 gr 6 Uni,Fridosa,Hamburguesa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436959350943,Galleta Doblon Costa de 30 Uni 420 gr,Costa,Galletas,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436959580319,Agua Sport Villa Santa de 600 ml,Villa Santa,Agua,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436959744159,Avena Instantanea Quaker de 700 gr,Quaker,Avena Instantanea,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436960727199,Galleta Clasica Chokis de 240 gr,Chokis,Galleta,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436960858271,Pan Molde Integral Bimbo de 350 gr,Bimbo,Pan Molde,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436961087647,Gaseosa sabor Uva Fanta 2000 ml,Fanta,Gaseosa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436961153183,Galleta Mini Festival La Francesa de 50 gr,La Francesa,Galleta,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436961448095,Tabletas para Mosquitos Tyson de 12 Uni,Tyson,Tabletas para Mosquitos,"Muebles, Bienes y Servicios Domésticos",,,,,,,,,,,,,,
7436962136223,Helado en Barrita de Crema Aguila Arcor de 34 gr,Arcor,Helado,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436962726047,Gaseosa sabor Papaya La CabaÃ±a de 500 ml,La CabaÃ±a,Gaseosa,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
7436962889887,Jamon Sandwichero Sofia de 250 gr,Sofia,Jamon,Alimentos y Bebidas No Alcohólicas,,,,,,,,,,,,,,
