Index,ÍNDICE GENERAL,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,Vivienda y servicios básicos,"Muebles, bienes y servicios domésticos",Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Alimentos y bebidas consumidos fuera del hogar,Bienes y servicios diversos
7/1/24,114.4340098,119.7756913,103.0507534,100.6119252,108.8758812,116.1116263,123.2722171,114.5718828,99.9695855,109.4099697,131.4961633,116.6956951,112.2508378
8/1/24,116.2453141,121.8653983,104.340106,103.1159549,109.1363273,119.9504844,124.8637215,113.5577131,100.9314812,113.6538854,131.490908,118.1999504,116.2095811
9/1/24,117.267773,122.7267485,104.3898276,104.6040806,109.3278525,122.6839158,125.9870079,113.3759354,100.8458791,114.5246851,131.5208993,119.4066238,119.5369027
10/1/24,119.1963834,127.1413285,105.6525514,105.8773461,109.64452,124.0407355,127.6322751,114.2302287,100.543573,114.9174337,131.6504948,120.9428816,121.5677101
11/1/24,120.92282,130.4363773,106.6947209,106.44267,110.1569378,125.2312565,128.621443,115.6643332,100.710333,115.3714126,131.5862446,123.41236,123.184587
12/1/24,122.2067818,132.4518957,108.29628,108.1293332,110.647856,126.7380877,129.2984732,117.2752516,101.0853717,115.5932167,131.5885168,124.6946695,124.2425484
1/1/25,124.5946036,136.3249608,109.4263421,109.3556237,111.6091392,128.0983817,130.6015329,119.9105271,101.1361154,119.760928,133.4270343,126.4945669,126.8729114
2/1/25,126.1682781,138.83097,110.1797074,110.4157036,112.0852476,128.9128879,131.3584858,121.9721319,101.2914847,121.5810462,135.10626,127.5523328,129.0822389
3/1/25,128.3229906,144.122763,110.5712396,111.1629872,112.5444794,129.8121079,132.3939371,123.9417478,101.2806958,121.356458,135.3302618,129.3180476,130.5695764
4/1/25,129.4723145,144.7728935,112.0376112,112.975016,113.111349,132.4051716,134.8621949,123.5029427,101.8552157,122.1094288,135.2449152,130.7338753,134.5052099
5/1/25,134.1979678,152.0371261,113.4466601,119.2361792,114.2749418,140.8007292,138.9154255,124.6425242,103.1634548,125.0745419,135.0368879,133.5182811,144.8456203
6/1/25,141.1856739,164.9557929,115.5209453,125.8173997,115.1309111,149.3620158,144.4874516,126.3993125,104.0375496,127.9745769,135.1518225,139.1410399,158.185769
7/1/25,142.8784655,164.3505817,116.7303507,128.9919656,116.3103656,154.6627897,148.3702024,128.6284792,103.3619893,127.8468263,135.5382597,141.7142238,164.9686907
8/1/25,144.3178502,166.615752,118.8500305,130.4307793,117.666042,155.720129,150.1527509,128.2295014,102.275812,132.81382,135.6527571,142.8977819,165.9190836
9/1/25,144.6087707,167.1127266,120.4015953,130.6420376,118.9316354,155.5072453,151.402129,128.129576,101.4648358,131.3815521,136.0788051,144.1045958,165.1715016
10/1/25,145.6966618,170.4085026,122.0516523,131.3911723,119.7875718,154.8539353,152.600173,128.9980583,100.9505502,131.0430881,136.1260709,145.0191987,163.7074202
11/1/25,146.2737922,173.299398,122.83502,130.975015,120.2841382,152.8066591,152.7421251,128.786921,99.32919257,129.3044205,136.1278392,146.9144826,161.6849425
12/1/25,147.1364642,169.9076756,124.0827295,132.1430021,120.98869,151.070578,153.7268555,148.5018487,98.43012493,127.5648235,136.0752685,148.5859972,159.4176171
1/1/26,149.0611704,169.0654108,126.5785992,132.1846187,122.1553813,151.0638566,155.6570632,166.2280933,97.74498352,128.6246083,140.5436751,150.5666894,157.6199239
2/1/26,148.1374103,166.6264038,127.5618972,131.0517956,122.7797384,149.9982765,155.8390578,164.9544548,97.42257223,129.2158263,142.3818055,150.731798,155.19157
3/1/26,147.6347337,165.7948151,127.3091782,130.8956653,123.2726069,148.8165657,155.7058465,163.7834706,97.73481249,128.8768099,142.4884573,151.1087917,152.8643542
