Date,ÍNDICE GENERAL,La Paz,Cochabamba,Santa Cruz de la Sierra
7/1/24,100,100,100,100
8/1/24,100.4732253,102.0237105,101.6268333,101.4851264
9/1/24,102.0635531,102.7846261,102.1579489,102.7734724
10/1/24,102.9612734,104.5934286,104.3595518,104.1691864
11/1/24,104.6545962,106.3593738,106.2485291,104.8180931
12/1/24,106.17041,107.1645699,106.9526813,106.4183956
1/1/25,107.2977303,108.8731777,109.5947718,108.5298588
2/1/25,109.3942413,109.9724027,110.8434107,110.1509051
3/1/25,110.7759298,112.2872552,112.7325136,111.6853325
4/1/25,112.6677704,113.1217728,113.4187856,112.9144362
5/1/25,113.6768785,117.5685572,118.0162587,116.8301008
6/1/25,117.8260089,125.1164345,124.7623949,120.8025938
7/1/25,123.9612249,125.6450049,125.3483881,122.73505
8/1/25,125.4474983,127.0228311,126.3055304,123.9560943
9/1/25,126.7112802,127.110153,126.1848933,124.3333733
10/1/25,126.9667088,127.6003253,127.1673167,125.6750984
11/1/25,127.9218787,128.059507,127.5520985,126.0638778
12/1/25,128.4286001,129.9524876,127.9069162,125.9294619
1/1/26,129.1860273,132.2883322,129.5866626,127.2115786
2/1/26,130.8759222,131.0170048,129.0067725,126.4235443
3/1/26,130.0648594,130.285629,128.8277999,126.1978867
