Date,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,Bienes y servicios diversos,"Muebles, bienes y servicios domésticos",Same Basket CPI Santa Cruz
7/1/24,55.07836353,1.791166294,15.38774679,15.36739263,12.37533076,100
8/1/24,56.0092764,1.822213153,15.81997629,15.89998484,12.70717407,102.2586248
9/1/24,57.17946798,1.817744107,16.02972145,16.34504869,13.024821,104.3968032
10/1/24,58.69689592,1.853786354,16.23459657,16.62228425,13.18943262,106.5969957
11/1/24,58.8420529,1.85848058,16.30765003,16.86924439,13.30109111,107.178519
12/1/24,61.05656474,1.874953521,16.54428726,17.01062373,13.47537173,109.961801
1/1/25,63.66210579,1.903019865,16.66256748,17.35872494,13.61401887,113.2004369
2/1/25,64.9542987,1.919080884,16.838118,17.64940799,13.67737183,115.0382774
3/1/25,67.29693005,1.918527271,16.95709926,17.9082941,13.79065677,117.8715075
4/1/25,68.02858438,1.950491357,17.22289372,18.4198954,14.02081466,119.6426795
5/1/25,71.23608251,1.996023376,18.1121004,19.84624208,14.84518801,126.0356364
6/1/25,73.66539598,2.022807473,19.06982674,21.81585248,15.63651261,132.2103953
7/1/25,74.88455252,2.040970359,19.52129243,22.62568052,16.18815887,135.2606547
8/1/25,76.17200076,2.046871071,19.79796471,22.77554963,16.27009767,137.0624838
9/1/25,76.5925301,2.101548907,19.81821492,22.6187947,16.19799552,137.3290842
10/1/25,78.61245659,2.157110145,20.06573916,22.48360338,16.08475186,139.4036611
11/1/25,80.16399825,2.18519191,19.91070273,22.11101331,15.8019934,140.1728996
12/1/25,76.45376866,2.197183202,20.28030394,21.86130655,15.59723966,136.389802
1/1/26,75.50446284,2.244322181,20.21099565,21.50645314,15.45692479,134.9231586
2/1/26,74.7889536,2.254160918,20.00555005,21.09027804,15.27333064,133.4122732
3/1/26,74.50116274,2.265746033,20.12255264,20.78957668,15.10083639,132.7798745
