Product Name,Product ID,Category,Confidence,Flag
Toallitas Húmedas Acolchamax Pequeñín 80 Unds.,1409,Bienes y Servicios Diversos,high,
Shampoo Carbon Activado Carissa 800 Ml,2152,Bienes y Servicios Diversos,high,
Endulzante con Stevia Equal 50 Unds.,665,Alimentos y Bebidas No Alcohólicas,high,
Ambientador Con Gatillo Air 2,1,"Muebles, Bienes y Servicios Domésticos",high,
"Limpiador Flores de Primavera Poett 1,8 Lt",10,"Muebles, Bienes y Servicios Domésticos",high,
Sanitizador de Manos Agua Marina Hi Geen Adult Jazmín 110 Ml,1000,Bienes y Servicios Diversos,high,
Sanitizador de Manos Agua Marina Hi Geen para Adulto 110 Ml,1001,Bienes y Servicios Diversos,high,
Sanitizador de Manos Agua Marina Hi Geen Adult Natural 110 Ml,1002,Bienes y Servicios Diversos,high,
Sanitizador de Manos Agua Marina Hi Geen Bolsillo Limón 50 Ml,1003,Bienes y Servicios Diversos,high,
Sanitizador de Manos Agua Marina Hi Geen Bolsillo Frutas Rojas 50 Ml,1004,Bienes y Servicios Diversos,high,
Sanitizador de Manos Agua Marina Hi Geen Bolsillo Agua Marina 50 Ml,1005,Bienes y Servicios Diversos,high,
Sanitizador de Manos Agua Marina Hi Geen Bolsillo Rosa de Damasco 50Ml,1006,Bienes y Servicios Diversos,high,
Sanitizador de Manos Hi Geen Bolsillo Jazmín 50Ml,1007,Bienes y Servicios Diversos,high,
Sanitizador de Manos Agua Marina Hi Geen Adult Amor 110 Ml,1008,Bienes y Servicios Diversos,high,
Sanitizador de Manos Hi Geen Infantil Bitty & Mitty 80Ml Gel,1009,Bienes y Servicios Diversos,high,
Galleta Original Club Social 234 Gr,101,Alimentos y Bebidas No Alcohólicas,high,
Sanitizador de Manos Hi Geen Infantil  Bibo 80Ml,1010,Bienes y Servicios Diversos,high,
Pañitos Humedos para Bebe Pompiglos Premiun Pompiglis 60 Unds,1011,Bienes y Servicios Diversos,high,
Repelente Fexon Infantil 100 Gr,1012,Bienes y Servicios Diversos,high,
Repelente Fexon Adulto 100 Gr,1013,Bienes y Servicios Diversos,high,
Repelente Fexon Spray 130 Gr,1014,Bienes y Servicios Diversos,high,
Endulzante Sucranova 150 Tabletas,1015,Alimentos y Bebidas No Alcohólicas,high,
Endulzante Sucranova Natura 270 Ml,1017,Alimentos y Bebidas No Alcohólicas,high,
Pañitos Clasicos Pompiglos 100 Unds,1018,Bienes y Servicios Diversos,high,
